Batch Size,Mode,End-to-End Time (s),Avg Request Time (s),Throughput (req/s),Avg GPU Util (%),Avg Mem Util (%),Avg Mem Used (MiB),Std End-to-End,Std Avg Request,Std Throughput,Std GPU Util,Std Mem Util,Std Mem Used
1,serial,264.255594156901,120.98726891760009,1.939749473507019,44.31251089648307,26.430929342739045,52649.36918279851,8.916490273608547,2.698471052217079,0.06614557933738234,0.3091082834389866,0.21933421287236113,18537.325187214305
1,parallel,260.82252962239585,122.41913015957658,1.9638082134827606,45.71354183888632,27.468182697132182,54913.45412871224,5.259414472472489,2.8911246776746733,0.039058932557110335,0.7149467648468696,0.39460711458632625,10343.045461606023
2,serial,271.6347973632812,126.51628715644854,1.8849732616899362,43.821348579039864,26.087341837016925,51096.41720654976,1.874274036808764,5.358066266068647,0.012981142241486993,0.4286254684038899,0.2758133148334438,13552.932683139872
2,parallel,273.69485091145833,125.28550455953821,1.8715709841785688,52.305393233392344,34.6570826551606,54913.60861106504,5.960512388828366,4.013674700907487,0.04015472670485408,0.13581955972583004,0.07924354150173403,11804.987075683859
4,serial,286.25772200520834,116.64650992106253,1.7934418921704582,44.06944650665529,25.291637871665415,49857.629658795275,15.01668430378253,5.661532794580828,0.09238376165210768,0.7158816651336483,0.372110429481848,13658.260536872176
4,parallel,273.14112500000005,103.34818161686924,1.8760922603133743,51.82446378730739,33.14668800875689,57710.67291217563,8.06800466758493,1.2829983082540193,0.05428239965014039,0.2112955276030562,0.16492315701687155,12232.002160215538
8,serial,274.29176611328126,83.71777063498699,1.866893288487405,44.02019661584637,25.18383642058717,57222.71664199266,3.2892965231502878,2.2735167582204303,0.02233293893107296,0.4430359258094622,0.2795203629783355,14062.873467690522
8,parallel,261.4779521484375,63.40233260867776,1.9587066478798452,52.72759704272676,33.833169562943304,62815.046126041394,4.583929157549045,3.9806571102487025,0.03460149140938401,2.210970888999927,1.4844850004832346,10365.137964941048
16,serial,261.04920703125003,31.681546632984066,1.969095165270991,44.48936711741813,25.194805910782623,77308.69706058789,16.50904289179519,0.886233645858584,0.12312098630644161,0.3681229949419221,0.21407528790459862,944.3317350889467
16,parallel,257.0195510253906,10.06361161494362,1.9956855589789688,55.872568425089035,35.76025009964263,77786.56639984153,10.988084847612832,0.3850359967083777,0.084692020189196,0.5109746706346735,0.32311722008754845,314.48571282012045
32,serial,258.83285416666666,11.551351845466945,1.979499293197006,44.001077349947884,24.81006686341401,78314.66666666667,6.918292768222985,0.22136280860076263,0.051957272882915594,0.5697636910975781,0.29232042864797,240.0518462517814
32,parallel,248.97788753255205,9.4462303538016,2.056694253949851,55.868756039697324,35.71095947720416,78438.93921431659,2.9518977429955005,0.053898107701718066,0.024184687784723533,0.08186946730904383,0.06876953702045698,244.1608508522553
64,serial,277.9256277669271,11.579013746275516,1.8429903293352101,44.1080474492689,24.93336257575579,78992.0,5.683954169538574,0.11001807276453181,0.037696759722050215,0.5266714439190815,0.2961794619699948,118.79393923933998
64,parallel,264.0292362467448,9.499572823581099,1.943418118751407,55.722201791883755,35.6809269746261,79052.77394831947,12.229471111586076,0.04696558292454852,0.09155358198180846,0.1468235015539356,0.12447271161747046,65.94585699434651
128,serial,277.27178125,11.32092935411387,1.8501527176492256,44.65335297229168,25.277099635490462,79152.0,12.030682816261209,0.05375134221015671,0.08271975999249429,0.12613054406261037,0.10810518286607765,0.0
128,parallel,261.4568278808594,9.410326146975466,1.9635895127638643,55.905598218662696,35.79226690878077,79153.49449769258,13.689772800971468,0.07640382702497475,0.10188446815553777,0.2391863894249373,0.11598347347221681,2.1135389057835035
